Date,Hour,Price (Euro/MWh)
13/01/2019,22,75.34
13/01/2019,23,65.95
13/01/2019,24,60.47
14/01/2019,1,53.06
14/01/2019,2,49.11
14/01/2019,3,40.00
14/01/2019,4,39.99
14/01/2019,5,39.75
14/01/2019,6,47.36
14/01/2019,7,61.12
14/01/2019,8,67.07
14/01/2019,9,74.29
14/01/2019,10,77.68
14/01/2019,11,76.19
14/01/2019,12,74.05
14/01/2019,13,67.81
14/01/2019,14,66.59
14/01/2019,15,69.00
14/01/2019,16,74.04
14/01/2019,17,77.68
14/01/2019,18,87.00
14/01/2019,19,78.21
14/01/2019,20,77.65
14/01/2019,21,71.81
14/01/2019,22,66.59
14/01/2019,23,63.53
14/01/2019,24,59.45
15/01/2019,1,62.14
15/01/2019,2,59.25
15/01/2019,3,53.21
15/01/2019,4,52.43
15/01/2019,5,53.26
15/01/2019,6,58.42
15/01/2019,7,65.05
15/01/2019,8,78.00
15/01/2019,9,88.00
15/01/2019,10,87.50
15/01/2019,11,76.91
15/01/2019,12,72.65
15/01/2019,13,68.29
15/01/2019,14,65.38
15/01/2019,15,71.30
15/01/2019,16,78.53
15/01/2019,17,80.00
15/01/2019,18,88.15
15/01/2019,19,85.60
15/01/2019,20,82.00
15/01/2019,21,78.72
15/01/2019,22,77.65
15/01/2019,23,70.84
15/01/2019,24,62.56
16/01/2019,1,66.69
16/01/2019,2,61.34
16/01/2019,3,59.68
16/01/2019,4,59.01
16/01/2019,5,59.54
16/01/2019,6,61.12
16/01/2019,7,71.15
16/01/2019,8,82.00
16/01/2019,9,100.00
16/01/2019,10,90.00
16/01/2019,11,82.00
16/01/2019,12,72.15
16/01/2019,13,68.10
16/01/2019,14,67.75
16/01/2019,15,68.18
16/01/2019,16,75.96
16/01/2019,17,79.00
16/01/2019,18,88.70
16/01/2019,19,80.60
16/01/2019,20,77.68
16/01/2019,21,71.31
16/01/2019,22,67.00
16/01/2019,23,67.57
16/01/2019,24,61.37
17/01/2019,1,59.34
17/01/2019,2,58.08
17/01/2019,3,56.26
17/01/2019,4,56.26
17/01/2019,5,56.81
17/01/2019,6,59.15
17/01/2019,7,66.73
17/01/2019,8,68.05
17/01/2019,9,77.33
17/01/2019,10,82.00
17/01/2019,11,76.42
17/01/2019,12,74.99
17/01/2019,13,67.86
17/01/2019,14,67.86
17/01/2019,15,75.00
17/01/2019,16,77.33
17/01/2019,17,77.65
17/01/2019,18,80.71
17/01/2019,19,77.68
17/01/2019,20,77.65
17/01/2019,21,70.84
17/01/2019,22,65.58
17/01/2019,23,64.97
17/01/2019,24,61.53
18/01/2019,1,60.15
18/01/2019,2,58.94
18/01/2019,3,56.99
18/01/2019,4,55.00
18/01/2019,5,56.64
18/01/2019,6,60.00
18/01/2019,7,67.11
18/01/2019,8,76.46
18/01/2019,9,95.13
18/01/2019,10,92.59
18/01/2019,11,83.07
18/01/2019,12,77.33
18/01/2019,13,69.74
18/01/2019,14,68.60
18/01/2019,15,68.43
18/01/2019,16,73.30
18/01/2019,17,75.88
18/01/2019,18,81.05
18/01/2019,19,78.21
18/01/2019,20,77.68
18/01/2019,21,70.74
18/01/2019,22,67.11
18/01/2019,23,65.19
18/01/2019,24,63.06
19/01/2019,1,65.00
19/01/2019,2,62.41
